Ship pt,Product Hierarchy,Part Number,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12,Algorithm,RMSE,MAPE,Parameters
ZTRD,3 A M E,10126301,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,3 A N E,10126609,0.83,0.81,0.79,0.77,0.77,0.77,0.77,0.77,30.77,0.77,0.77,0.77,AR,8.66,nan,[]
ZTRD,3 A X B,10127100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.0,nan,[]
ZTRD,3 A X C,10127230,0.25,0,0,0.01,0.77,0.44,0,0.15,0.4,0,0.26,-0.0,AR,0.52,nan,[]
ZTRD,3 A X D,10127260,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,3 A X E,10127280,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,3 A X F,10127340,0.32,1.49,0,0.04,0.29,1.4,1.57,1.74,0,0.22,0.98,0,AR,1.27,nan,[]
ZTRD,3 B B E,10127370,0.53,0.45,0.46,0.51,1.06,1.25,1.12,1.11,1.18,1.27,2.62,2.87,AR,0.41,nan,[]
ZTRD,3 B X C,10127405,4.18,0,2.81,0,6.2,0,4.0,0.14,2.31,0.11,2.68,0,AR,2.25,inf,[]
ZTRD,3 B X E,10127410,0.99,0,0,0,0,0,0,0,0,0,0,0,AR,0.36,nan,[]
ZTRD,3 B X F,10127415,0.12,0.57,0.36,0.43,0.7,0.11,0.48,0,0.01,0.38,0.36,0.15,AR,0.4,nan,[]
ZTRD,3 C B C,10127420,0,0.02,0,0,0,0.97,0,0.07,0,0,0,0,AR,0.29,nan,[]
ZTRD,3 C C A,10127430,1.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,AR,0.29,nan,[]
ZTRD,3 C C E,10127450,2.02,3.1,0.85,2.4,0.26,1.37,0.42,0.02,0,0.46,0.69,1.77,AR,1.46,nan,[]
ZTRD,3 C D C,10127470,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,AR,0.3,inf,[]
ZTRD,3 C X E,10127490,1.22,0,0,0.18,0.31,0,0,0.93,0.04,0,0,1.06,AR,0.72,inf,[]
ZTRD,3 D A A,10127492,3.34,0.44,0,0.22,0.25,0,0.15,2.34,0,0,0,0.59,AR,1.41,nan,[]
ZTRD,3 D A E,10127540,0,1.06,1.66,1.87,1.37,0,0.32,0.33,1.33,0,0.58,0,AR,0.84,nan,[]
ZTRD,3 X A A,10127550,0,0,1.2,0,0.05,0.18,0,0,0.05,0.19,0,0,AR,0.58,nan,[]
ZTRD,3 X A C,10127560,0.95,1.52,0.47,0.14,0.42,0.73,0.6,0.94,0.09,0,0.1,0.33,AR,0.72,nan,[]
ZTRD,3 X A E,10127570,0.45,1.12,0,0.94,0,0.91,-0.0,0.02,0,0,0.1,0.98,AR,1.51,nan,[]
ZTRD,3 X B A,10127580,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,AR,0.31,inf,[]
ZTRD,3 X B C,10127590,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,3 X B E,10127595,0,0,1.09,0.56,0.38,0.11,2.04,0,0.46,0,0.45,0.49,AR,1.46,nan,[]
ZTRD,3 X B F,10127600,0,1.74,0,0,0.15,0.03,0,0,0,0.14,0,0.72,AR,1.06,nan,[]
ZTRD,3 X C C,10127610,0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,AR,0.0,nan,[]
ZTRD,3 X C E,10127620,0.18,0,1.54,0,0,0.93,0.94,1.12,0.18,0.06,0.08,0.23,AR,1.0,nan,[]
ZTRD,3 X D A,10127630,0.08,0.04,0,0.93,0,0,0,0,0,0,0,0,AR,0.33,nan,[]
ZTRD,3 X D C,10127650,1.31,0.25,0.29,0,0,0.48,0,1.12,1.59,0,0,1.34,AR,0.91,nan,[]
ZTRD,3 X X C,10127690,0.15,0.59,0,1.34,0.39,0.52,0,0.64,0.28,0,0,0,AR,0.75,nan,[]
ZTRD,3 X X E,10127750,0.8,0.11,0,0,0,0,0,0,0,0,0.78,0.04,AR,0.5,nan,[]
ZTRD,3 X X F,10127900,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,3 X X G,10127998,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,3 Y Y C,10144026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.0,nan,[]
ZTRD,3 Z Z A,10145004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.0,nan,[]
ZTRD,3 Z Z B,10154003,0.02,1.19,0.02,0,0.02,0.01,0.01,0.03,0.19,0.02,0,0.01,AR,0.48,inf,[]
ZTRD,3 Z Z C,10154005,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,AR,0.3,inf,[]
ZTRD,3 Z Z E,10154006,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,AR,0.3,inf,[]
ZTRD,4 B X C,10154008,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,AR,0.3,inf,[]
ZTRD,4 E A C,10154010,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,4 X X C,10155000,0,0.22,0,0,0.07,0,0,0,0,0.07,0,0.13,AR,0.26,nan,[]
ZTRD,4 Y Y C,10155001,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,5 A A C,10235200,0,0.62,0.13,0.91,0.15,0,0.15,0,0,0.01,0,0,AR,0.53,nan,[]
ZTRD,5 A D C,10235203,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,AR,0.29,nan,[]
ZTRD,5 A D E,10235204,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,AR,0.29,nan,[]
ZTRD,5 A E C,10235208,0,0,19.19,0,0,0,0,0,0,0,0,0,AR,5.77,nan,[]
ZTRD,5 A E E,10250762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.0,nan,[]
ZTRD,5 A E F,10280015,0,0.07,0.31,0,0,0,0.12,0.04,0,0.9,0,0.08,AR,0.29,nan,[]
ZTRD,5 A X C,10280265,0,0,0,0,0,0,0,0,0,0,0,7.74,AR,0.11,nan,[]
ZTRD,5 A X E,10280316,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,5 S W E,10290115,0.18,0,0.18,0.09,4.02,0.09,0.09,0.06,0.09,0,0.44,0,AR,1.15,nan,[]
ZTRD,5 X X E,10290160,0.65,0.65,0.32,0,0.06,0.06,0.26,10.35,0.29,0.28,0.24,0.25,AR,7.74,inf,[]
ZTRD,5 Z Z A,10290237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.0,nan,[]
ZTRD,5 Z Z C,10290247,2.34,0,0.64,1.47,0,1.7,0.64,0.59,0.71,0.69,0,0,AR,2.25,nan,[]
ZTRD,5 Z Z E,10290274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.0,nan,[]
ZTRD,5 Z Z H,10290299,0.07,0.44,0.16,0,0.09,0.06,0,0.31,0,0,0,0,AR,0.52,nan,[]
ZTRD,6 C C J,10290300,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1.03,AR,0.29,nan,[]
ZTRD,6 X A G,10290317,7.58,0.3,0,2.2,6.96,1.91,1.55,0.46,0,2.86,-0.0,0.88,AR,7.99,nan,[]
ZTRD,6 X B G,10290318,0,0,4.76,6.68,4.53,0,0.1,0,1.0,2.11,0,0,AR,17.0,nan,[]
ZTRD,6 X X G,10290319,0,0,0.11,0,0.11,0,1.06,0.09,0,0.07,0,0.04,AR,0.29,nan,[]
ZTRD,6 X Y G,10290333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.3,inf,[]
ZTRD,6 X Z G,10290420,0.65,0,18.3,15.45,9.89,6.11,24.76,12.76,45.17,13.43,5.0,0,AR,7.63,inf,[]
