Ship pt,Product Hierarchy,Part Number,Volume,Intermittency
ZTRD,6 X Z G,10619055,low,medium
ZTRD,7 D A B,10619057,low,medium
ZTRD,7 D A C,10619062,low,medium
ZTRD,7 D A E,10619063,low,medium
ZTRD,7 D Z C,10619064,low,medium
ZTRD,B E 01,10619068,low,medium
ZTRD,G A A A,10619070,low,medium
ZTRD,G A J E,10619103,low,high
ZTRD,G B A A,10619104,medium,medium
ZTRD,G B A E,10619109,low,medium
ZTRD,1 B C E,10619114,low,medium
ZTRD,1 B E E,10619131,low,medium
ZTRD,1 B I F,10619132,low,medium
ZTRD,1 B J C,10619140,low,medium
ZTRD,1 B J E,10619143,low,medium
ZTRD,1 B M C,10619145,low,medium
ZTRD,1 B X C,10619146,low,low
ZTRD,1 B X G,10619147,low,medium
ZTRD,1 C A E,10619153,low,medium
ZTRD,1 B C E,10619162,medium,high
ZTRD,1 B E E,10619163,low,medium
ZTRD,1 B I F,10619164,low,medium
ZTRD,1 B J C,10619165,low,medium
ZTRD,1 B J E,10619166,low,medium
ZTRD,1 B M C,10619167,low,medium
ZTRD,1 B X C,10619168,low,medium
ZTRD,1 B X G,10619170,low,medium
ZTRD,1 C A E,10619171,low,medium
ZTRD,1 C F E,10619174,low,medium
ZTRD,1 C F F,10619175,low,medium
ZTRD,1 C G E,10619182,low,medium
ZTRD,1 C G F,10619183,low,medium
ZTRD,2 A A A,10619184,low,medium
ZTRD,2 A B E,10619185,low,medium
ZTRD,2 A C E,10619190,low,medium
ZTRD,2 A D A,10619191,medium,high
ZTRD,2 A E E,10619195,low,medium
ZTRD,2 A H E,10619196,medium,medium
ZTRD,2 A I E,10619197,low,medium
ZTRD,2 A L A,10619205,low,medium
ZTRD,2 A L F,10619209,low,low
ZTRD,2 A X E,10619212,low,low
ZTRD,2 A X F,10619215,low,medium
ZTRD,2 B A E,10619221,medium,medium
ZTRD,2 B B B,10619227,low,medium
ZTRD,2 B B E,10619245,low,medium
ZTRD,2 B D E,10619246,low,medium
ZTRD,2 C X C,10619267,low,medium
ZTRD,2 S Y G,10619300,low,medium
ZTRD,2 Y Y C,10619301,low,medium
ZTRD,3 A A E,10619302,low,medium
ZTRD,3 A C C,10619303,low,medium
ZTRD,3 A C E,10619304,low,medium
ZTRD,3 A G C,10619309,low,medium
ZTRD,3 A G E,10619310,medium,low
ZTRD,3 A I B,10619311,low,medium
ZTRD,3 A I C,10619312,low,low
ZTRD,3 A I E,10619320,low,medium
ZTRD,3 A I F,10619321,low,medium
ZTRD,3 A J B,10619323,low,medium
ZTRD,3 A J C,10619326,low,medium
ZTRD,3 A J E,10619327,low,medium
ZTRD,3 A J F,10619328,low,medium
ZTRD,3 A K C,10619339,low,medium
ZTRD,3 A K E,10619341,low,medium
ZTRD,3 A K F,10619342,low,medium
ZTRD,3 A L E,10619343,low,medium
ZTRD,3 A M C,10619344,low,medium
ZTRD,3 A M E,10619345,low,high
ZTRD,3 A P B,10619346,medium,medium
ZTRD,3 A P C,10619360,low,medium
ZTRD,3 A P E,10619361,low,medium
ZTRD,3 A P F,10619401,medium,medium
ZTRD,3 A X C,10619402,high,medium
ZTRD,3 A X E,10619403,medium,high
ZTRD,3 A X F,10619404,medium,medium
ZTRD,3 A Y E,10619405,medium,medium
ZTRD,3 B A E,10619406,medium,high
ZTRD,3 B A F,10619408,medium,low
ZTRD,3 B B C,10619410,medium,medium
ZTRD,3 B B E,10619412,low,medium
ZTRD,3 B B F,10619414,low,high
ZTRD,3 B C C,10619415,low,high
ZTRD,3 B C E,10619416,low,medium
ZTRD,3 B C F,10619417,medium,high
ZTRD,3 B D B,10619418,low,medium
ZTRD,3 B D E,10619426,medium,medium
ZTRD,3 B D F,10619427,medium,high
ZTRD,3 B E C,10619432,low,medium
ZTRD,3 B E E,10619434,low,medium
ZTRD,3 B X C,10619439,medium,medium
ZTRD,3 B X E,10619440,low,medium
ZTRD,3 B X F,10619450,medium,high
ZTRD,3 B Y C,10619451,medium,high
ZTRD,3 C A A,10619452,medium,medium
ZTRD,3 C A E,10619453,medium,medium
ZTRD,3 D A C,10619454,low,medium
ZTRD,3 D A E,10619456,low,high
ZTRD,3 D A F,10619457,low,medium
ZTRD,3 D B E,10619460,medium,high
ZTRD,3 D B F,10619461,low,medium
ZTRD,3 D C C,10619463,low,medium
ZTRD,3 D C E,10619464,low,medium
ZTRD,3 D D E,10619466,low,medium
ZTRD,3 D D F,10619467,low,medium
ZTRD,3 D X C,10619482,low,medium
ZTRD,3 D X E,10619483,low,high
ZTRD,3 D X F,10619485,low,medium
ZTRD,3 X X C,10619487,low,medium
ZTRD,3 X X E,10619488,low,medium
ZTRD,3 X X F,10619489,low,medium
ZTRD,3 Y A C,10619490,low,medium
ZTRD,3 Y A E,10619491,low,medium
ZTRD,3 Y A F,10619492,low,medium
ZTRD,3 Y Y C,10619493,low,medium
ZTRD,3 Y Y E,10619494,low,medium
ZTRD,4 A C C,10619495,low,medium
ZTRD,4 A C F,10619496,low,medium
ZTRD,4 A D B,10619497,low,medium
ZTRD,4 A D C,10619498,low,medium
ZTRD,4 A D E,10619499,low,medium
ZTRD,4 A D F,10619501,low,high
ZTRD,4 A G B,10619508,medium,medium
ZTRD,4 A G C,10619509,medium,medium
ZTRD,4 A G E,10619511,medium,high
ZTRD,4 A G F,10619512,medium,high
ZTRD,4 A K E,10619513,low,medium
ZTRD,4 A K F,10619514,low,medium
ZTRD,4 A L E,10619517,low,medium
ZTRD,4 A M E,10619518,low,medium
ZTRD,4 A N E,10619520,low,medium
ZTRD,4 A X B,10619521,low,medium
ZTRD,4 A X C,10619523,low,high
ZTRD,4 A X D,10619530,medium,high
ZTRD,4 A X E,10619531,medium,high
ZTRD,4 A X F,10619532,medium,medium
ZTRD,4 B B E,10619533,low,medium
ZTRD,4 B X C,10619534,low,medium
ZTRD,4 B X E,10619535,medium,medium
ZTRD,4 B X F,10619538,low,medium
ZTRD,4 C B C,10619539,low,medium
ZTRD,4 C C A,10619540,low,medium
ZTRD,4 C C E,10619541,low,medium
ZTRD,4 C D C,10619548,medium,medium
ZTRD,4 C X E,10619550,low,medium
ZTRD,4 D A A,10619551,low,medium
ZTRD,4 D A E,10619552,low,medium
ZTRD,4 X A A,10619553,low,medium
ZTRD,4 X A C,10619554,low,low
ZTRD,4 X A E,10619555,low,low
ZTRD,4 X B A,10619556,low,medium
ZTRD,4 X B C,10619563,low,medium
ZTRD,4 X B E,10619568,low,medium
ZTRD,4 X B F,10619569,low,medium
ZTRD,4 X C C,10619570,low,medium
ZTRD,4 X C E,10619571,low,medium
ZTRD,4 X D A,10619591,low,medium
ZTRD,4 X D C,10619592,low,medium
ZTRD,4 X X C,10619593,low,high
ZTRD,4 X X E,10619595,low,medium
ZTRD,4 X X F,10619597,low,medium
ZTRD,4 X X G,10619600,low,medium
ZTRD,4 Y Y C,10619601,low,medium
ZTRD,4 Z Z A,10619605,low,medium
ZTRD,4 Z Z B,10619606,low,medium
ZTRD,4 Z Z C,10619607,low,low
ZTRD,4 Z Z E,10619608,low,medium
ZTRD,5 B X C,10619610,low,medium
ZTRD,5 E A C,10619611,low,medium
ZTRD,5 X X C,10619622,low,medium
ZTRD,5 Y Y C,10619623,low,medium
ZTRD,6 A A C,10619626,low,medium
ZTRD,6 A D C,10619629,low,medium
ZTRD,6 A D E,10619674,low,high
ZTRD,6 A E C,10619675,low,medium
ZTRD,6 A E E,10619676,low,medium
ZTRD,6 A E F,10619677,low,medium
ZTRD,6 A X C,10619684,low,medium
ZTRD,6 A X E,10619686,low,medium
ZTRD,6 S W E,10619691,low,medium
ZTRD,6 X X E,10619727,low,medium
ZTRD,6 Z Z A,10619740,low,medium
ZTRD,6 Z Z C,10619749,low,medium
ZTRD,6 Z Z E,10619750,low,medium
ZTRD,6 Z Z H,10619751,low,medium
ZTRD,7 C C J,10619800,low,medium
ZTRD,7 X A G,10619801,low,medium
ZTRD,7 X B G,10619802,low,medium
ZTRD,7 X X G,10619803,low,medium
ZTRD,7 X Y G,10619804,low,low
ZTRD,7 X Z G,10619805,low,medium
ZTRD,8 D A B,10619807,low,medium
ZTRD,8 D A C,10619811,medium,high
ZTRD,8 D Z B,10619812,medium,high
ZTRD,10 Z Z Z,10619813,low,medium
ZTRD,B E 02,10619814,low,high
ZTRD,G A A A,10619815,medium,high
ZTRD,G A A E,10619816,medium,medium
ZTRD,G B A A,10619818,low,medium
ZTRD,G B A E,10619819,low,medium
ZTRD,G B D C,10619820,low,medium
ZTRD,S A A A,10619823,low,medium
ZTRD,S A E A,10619843,low,medium
ZTRD,S B A G,10619846,low,medium
ZTRD,S B B G,10619850,medium,medium
ZTRD,S B C G,10619852,low,medium
ZTRD,S B D G,10619853,low,medium
ZTRD,S B F G,10619854,low,medium
ZTRD,S C A E,10619855,low,medium
ZTRD,1 B C E,10619861,low,high
ZTRD,1 B I F,10619862,low,medium
ZTRD,1 B J C,10619863,medium,high
ZTRD,1 B J E,10619865,low,medium
ZTRD,1 C F E,10619866,low,medium
ZTRD,1 C G E,10619867,low,medium
ZTRD,1 C G F,10619868,low,medium
ZTRD,2 A B E,10619873,low,medium
ZTRD,2 A E E,10619877,low,medium
ZTRD,2 A H E,10619884,low,medium
ZTRD,2 A X E,10619891,low,medium
ZTRD,2 A X F,10619893,medium,medium
ZTRD,2 B A E,10619894,low,medium
ZTRD,2 B D E,10619896,low,medium
ZTRD,2 S Y G,10621001,medium,medium
ZTRD,2 Y Y C,10621002,medium,high
ZTRD,3 A C E,10621003,medium,medium
ZTRD,3 A G E,10621004,low,low
ZTRD,3 A I B,10622001,low,medium
ZTRD,3 A I C,10622002,low,medium
ZTRD,3 A I E,10622003,low,medium
ZTRD,3 A I F,10622006,low,medium
ZTRD,3 A J B,10622009,low,low
ZTRD,3 A J C,10622013,low,medium
ZTRD,3 A J E,10622015,low,medium
ZTRD,3 A J F,10622016,low,medium
ZTRD,3 A K C,10622019,low,medium
ZTRD,3 A K E,10623001,medium,medium
ZTRD,3 A K F,10623004,medium,medium
ZTRD,3 A L E,10623010,low,medium
ZTRD,3 A M C,10623011,low,medium
ZTRD,3 A M E,10623020,low,medium
ZTRD,3 A P B,10623104,low,low
ZTRD,3 A P C,10623151,low,medium
ZTRD,3 A P E,10623252,low,medium
ZTRD,3 A P F,10623300,low,medium
ZTRD,3 A X C,10623900,low,medium
ZTRD,3 A X E,10625002,low,medium
ZTRD,3 A X F,10625005,low,medium
ZTRD,3 A Y E,10625006,low,high
ZTRD,3 B A C,10625010,low,medium
ZTRD,3 B A E,10625011,low,medium
ZTRD,3 B A F,10625100,low,medium
ZTRD,3 B B C,10625102,low,medium
ZTRD,3 B B E,10625105,low,high
ZTRD,3 B B F,10625200,low,medium
ZTRD,3 B C C,10625201,low,medium
ZTRD,3 B C E,10625202,low,medium
ZTRD,3 B C F,10625203,low,medium
ZTRD,3 B D E,10625206,low,medium
ZTRD,3 B D F,10625207,low,medium
ZTRD,3 B E E,10625210,low,medium
